BILIBIN,0011011001011111000
DENISOVS,0011010001011111000
FALLEN,0011011111101111000
SIGHED,0011010111101111000
HANDED,0011011011101111000
SORROW,0011010011101111000
MOVEMENTS,0011011101101111000
QUIETLY,0011010101101111000
LAD,0011011001101111000
HAPPENS,0011010001101111000
SPOKEN,0011011110101111000
TWENTY,0011010110101111000
SUPPER,0011011010101111000
OPPOSITE,0011010010101111000
BEAR,0011011100101111000
KURAGIN,0011010100101111000
WOLF,0011011010101011000
ABANDONED,0011010010101011000
CONSCIOUS,0011011100101011000
PLANS,0011010100101011000
CHURCH,0011011000101011000
AVOID,0011010000101011000
STERN,0011011111001011000
PUSHED,0011010111001011000
GOODBY,0011011011001011000
EYE,0011010011001011000
STUPID,0011011101001011000
LIT,0011010101001011000
ARRIVAL,0011011001001011000
HIGHEST,0011010001001011000
UNEXPECTEDLY,0011011100110011000
MASS,0011011110010101000
ARTILLERY,0011010110010101000
CHANCE,0011011010010101000
